"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Login with email and password","SUCCESS","2023-06-02T08:30:38.7717204+07:00[Asia/Bangkok]","0.0","30.44"
"Inventory","User arrange item","ERROR","2023-06-02T08:30:38.6724147+07:00[Asia/Bangkok]","0.0","10.54"
